file,w,h,bbox_area_ratio,ink_coverage_ratio,margin_left,margin_right,margin_top,margin_bottom
06-chuong-3-giai-phap-frontend-hinh-3-15.png,2077,1435,1.0,0.279,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-16.png,5341,1870,1.0,0.0229,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-17.png,4569,3575,1.0,0.4621,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-18.png,2748,4794,1.0,0.369,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-19.png,7262,1272,1.0,0.0084,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-20.png,2974,4541,1.0,0.3612,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-21.png,4710,2272,1.0,0.4538,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-22.png,2531,1554,1.0,0.183,0.0,0.0,0.0,0.0
06-chuong-3-giai-phap-frontend-hinh-3-23.png,8152,1777,1.0,0.0067,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-1.png,12290,3379,1.0,0.4868,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-10.png,785,5934,1.0,0.0138,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-11.png,9744,3772,1.0,0.3418,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-12.png,9506,263,1.0,0.031,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-13.png,12578,3236,1.0,0.6386,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-14.png,1166,3838,1.0,0.0114,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-15.png,3616,2619,1.0,0.0067,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-16.png,9595,263,1.0,0.0308,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-2.png,2357,3291,1.0,0.0098,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-3.png,6983,1272,1.0,0.0087,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-4.png,3343,2531,1.0,0.0071,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-5.png,4008,3459,1.0,0.0069,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-6.png,20820,3566,1.0,0.2765,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-7.png,6563,1272,1.0,0.0085,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-8.png,6857,263,1.0,0.0313,0.0,0.0,0.0,0.0
07-chuong-4-trien-khai-hardware-hinh-4-9.png,2293,3753,1.0,0.0077,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-15.png,4205,5934,1.0,0.0044,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-16.png,2462,1749,1.0,0.2374,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-17.png,6909,1947,1.0,0.0229,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-18.png,1890,1235,1.0,0.2315,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-19.png,1319,1084,1.0,0.3209,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-20.png,4569,3575,1.0,0.4621,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-21.png,2748,4794,1.0,0.369,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-22.png,2974,4541,1.0,0.3612,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-23.png,2915,4625,1.0,0.4053,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-24.png,5704,1272,1.0,0.009,0.0,0.0,0.0,0.0
09-chuong-4-trien-khai-cloud-hinh-4-25.png,5801,2281,1.0,0.007,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-20.png,4107,3291,1.0,0.0061,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-21.png,2002,3753,1.0,0.0074,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-22.png,7952,1272,1.0,0.0076,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-23.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-24.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-25.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-26.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-27.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-28.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-29.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-30.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-31.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-32.png,2188,1563,1.0,1.0,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-33.png,2974,4541,1.0,0.3612,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-34.png,4192,2281,1.0,0.0082,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-35.png,2009,3666,1.0,0.0081,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-36.png,8187,669,1.0,0.0155,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-37.png,1151,4800,1.0,0.0117,0.0,0.0,0.0,0.0
10-chuong-4-ket-qua-do-luong-hinh-4-38.png,6811,1600,1.0,0.1745,0.0,0.0,0.0,0.0
thesis-08-chuong-4-trien-khai-firmware-01.png,2718,5269,1.0,0.0076,0.0,0.0,0.0,0.0
thesis-08-chuong-4-trien-khai-firmware-02.png,2321,6277,0.9858,0.0074,0.0034,0.0108,0.0,0.0
thesis-14-phu-luc-01.png,9425,801,1.0,0.2098,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-01.png,12290,3379,1.0,0.4868,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-02.png,5557,5130,1.0,0.483,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-03.png,20820,3566,1.0,0.2765,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-04.png,5691,1753,1.0,0.0214,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-05.png,5693,1902,1.0,0.0096,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-06.png,7140,2272,1.0,0.3821,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-07.png,12578,3236,1.0,0.6386,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-08.png,2357,3291,1.0,0.0098,0.0,0.0,0.0,0.0
thesis-99-bao-cao-thesis-hoan-chinh-09.png,2293,3753,1.0,0.0077,0.0,0.0,0.0,0.0
