file,group,w,h,left,right,top,bottom,min_margin
07-chuong-4-trien-khai-hardware-hinh-4-8.png,07,289,941,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-9.png,07,650,762,7,7,7,7,7
08-chuong-4-trien-khai-firmware-hinh-4-16a.png,08,633,1231,11,18,7,21,7
08-chuong-4-trien-khai-firmware-hinh-4-17.png,08,653,1043,11,15,7,19,7
09-chuong-4-trien-khai-cloud-hinh-4-15.png,09,1052,1154,7,8,7,7,7
09-chuong-4-trien-khai-cloud-hinh-4-17.png,09,1385,942,7,8,9,7,7
09-chuong-4-trien-khai-cloud-hinh-4-20.png,09,986,721,7,8,7,7,7
09-chuong-4-trien-khai-cloud-hinh-4-21.png,09,925,581,7,8,7,7,7
09-chuong-4-trien-khai-cloud-hinh-4-22.png,09,970,728,7,8,7,7,7
09-chuong-4-trien-khai-cloud-hinh-4-23.png,09,1077,761,7,8,7,7,7
09-chuong-4-trien-khai-cloud-hinh-4-24.png,09,701,868,7,8,7,7,7
09-chuong-4-trien-khai-cloud-hinh-4-25.png,09,1116,868,7,7,7,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-20.png,10,1017,830,7,8,9,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-21.png,10,511,762,7,7,7,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-22.png,10,503,1431,7,7,9,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-33.png,10,970,728,7,8,7,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-34.png,10,709,861,7,8,7,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-35.png,10,503,916,7,8,7,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-36.png,10,540,1418,7,11,7,7,7
10-chuong-4-ket-qua-do-luong-hinh-4-37.png,10,356,1007,7,7,7,7,7
14-phu-luc-hinh-pl-3-1.png,14,469,2668,7,7,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-15.png,06,933,489,9,17,10,13,9
06-chuong-3-giai-phap-frontend-hinh-3-22.png,06,976,617,9,17,10,13,9
09-chuong-4-trien-khai-cloud-hinh-4-16.png,09,860,592,9,17,10,14,9
09-chuong-4-trien-khai-cloud-hinh-4-18.png,09,652,516,9,17,10,15,9
09-chuong-4-trien-khai-cloud-hinh-4-19.png,09,475,372,9,17,9,14,9
03-chuong-3-giai-phap-phan-cung-hinh-3-2.png,03,484,586,34,42,29,39,29
04-chuong-3-giai-phap-firmware-hinh-3-8.png,04,726,906,35,43,29,40,29
04-chuong-3-giai-phap-firmware-hinh-3-9.png,04,486,819,34,42,29,43,29
05-chuong-3-giai-phap-backend-hinh-3-14a.png,05,1456,793,35,43,29,34,29
